MODEL,PARAMETERS,PRECISION,RECALL,AUC,F1,ACCURACY,Time
RF,"{'max_depth': 1, 'max_features': 'log2', 'min_samples_split': 5, 'n_estimators': 100}",1.0,0.089552238806,0.544776119403,0.164383561644,0.207792207792,0.260178804397583
RF,"{'max_depth': 1, 'max_features': 'log2', 'min_samples_split': 10, 'n_estimators': 1}",0.87012987013,1.0,0.5,0.930555555556,0.87012987013,0.10913324356079102
RF,"{'max_depth': 1, 'max_features': 'log2', 'min_samples_split': 10, 'n_estimators': 10}",0.87323943662,0.925373134328,0.512686567164,0.898550724638,0.818181818182,0.21736788749694824
RF,"{'max_depth': 1, 'max_features': 'log2', 'min_samples_split': 10, 'n_estimators': 100}",1.0,0.0746268656716,0.537313432836,0.138888888889,0.194805194805,0.25746893882751465
RF,"{'max_depth': 5, 'max_features': 'sqrt', 'min_samples_split': 2, 'n_estimators': 1}",0.864864864865,0.955223880597,0.477611940299,0.90780141844,0.831168831169,0.10943174362182617
RF,"{'max_depth': 5, 'max_features': 'sqrt', 'min_samples_split': 2, 'n_estimators': 10}",0.857142857143,0.089552238806,0.494776119403,0.162162162162,0.194805194805,0.22021150588989258
RF,"{'max_depth': 5, 'max_features': 'sqrt', 'min_samples_split': 2, 'n_estimators': 100}",1.0,0.0597014925373,0.529850746269,0.112676056338,0.181818181818,0.2582547664642334
RF,"{'max_depth': 5, 'max_features': 'sqrt', 'min_samples_split': 5, 'n_estimators': 1}",0.868421052632,0.985074626866,0.492537313433,0.923076923077,0.857142857143,0.10909628868103027
RF,"{'max_depth': 5, 'max_features': 'sqrt', 'min_samples_split': 5, 'n_estimators': 10}",1.0,0.0597014925373,0.529850746269,0.112676056338,0.181818181818,0.21858644485473633
RF,"{'max_depth': 5, 'max_features': 'sqrt', 'min_samples_split': 5, 'n_estimators': 100}",0.857142857143,0.089552238806,0.494776119403,0.162162162162,0.194805194805,0.26340365409851074
RF,"{'max_depth': 5, 'max_features': 'sqrt', 'min_samples_split': 10, 'n_estimators': 1}",0.864864864865,0.955223880597,0.477611940299,0.90780141844,0.831168831169,0.10896921157836914
RF,"{'max_depth': 5, 'max_features': 'sqrt', 'min_samples_split': 10, 'n_estimators': 10}",1.0,0.0597014925373,0.529850746269,0.112676056338,0.181818181818,0.2178940773010254
RF,"{'max_depth': 5, 'max_features': 'sqrt', 'min_samples_split': 10, 'n_estimators': 100}",1.0,0.10447761194,0.55223880597,0.189189189189,0.220779220779,0.25725436210632324
RF,"{'max_depth': 5, 'max_features': 'log2', 'min_samples_split': 2, 'n_estimators': 1}",0.855072463768,0.880597014925,0.440298507463,0.867647058824,0.766233766234,0.10914063453674316
RF,"{'max_depth': 5, 'max_features': 'log2', 'min_samples_split': 2, 'n_estimators': 10}",0.75,0.044776119403,0.472388059701,0.0845070422535,0.155844155844,0.21977686882019043
RF,"{'max_depth': 5, 'max_features': 'log2', 'min_samples_split': 2, 'n_estimators': 100}",0.857142857143,0.089552238806,0.494776119403,0.162162162162,0.194805194805,0.25884509086608887
RF,"{'max_depth': 5, 'max_features': 'log2', 'min_samples_split': 5, 'n_estimators': 1}",0.86301369863,0.940298507463,0.470149253731,0.9,0.818181818182,0.1083829402923584
RF,"{'max_depth': 5, 'max_features': 'log2', 'min_samples_split': 5, 'n_estimators': 10}",1.0,0.0746268656716,0.537313432836,0.138888888889,0.194805194805,0.22002124786376953
RF,"{'max_depth': 5, 'max_features': 'log2', 'min_samples_split': 5, 'n_estimators': 100}",1.0,0.0597014925373,0.529850746269,0.112676056338,0.181818181818,0.25921177864074707
RF,"{'max_depth': 5, 'max_features': 'log2', 'min_samples_split': 10, 'n_estimators': 1}",0.888888888889,0.119402985075,0.509701492537,0.210526315789,0.220779220779,0.10917782783508301
RF,"{'max_depth': 5, 'max_features': 'log2', 'min_samples_split': 10, 'n_estimators': 10}",1.0,0.0597014925373,0.529850746269,0.112676056338,0.181818181818,0.2194836139678955
RF,"{'max_depth': 5, 'max_features': 'log2', 'min_samples_split': 10, 'n_estimators': 100}",1.0,0.10447761194,0.55223880597,0.189189189189,0.220779220779,0.2590827941894531
RF,"{'max_depth': 10, 'max_features': 'sqrt', 'min_samples_split': 2, 'n_estimators': 1}",1.0,0.10447761194,0.55223880597,0.189189189189,0.220779220779,0.10908913612365723
RF,"{'max_depth': 10, 'max_features': 'sqrt', 'min_samples_split': 2, 'n_estimators': 10}",1.0,0.0597014925373,0.529850746269,0.112676056338,0.181818181818,0.21898198127746582
RF,"{'max_depth': 10, 'max_features': 'sqrt', 'min_samples_split': 2, 'n_estimators': 100}",1.0,0.0597014925373,0.529850746269,0.112676056338,0.181818181818,0.2599163055419922
RF,"{'max_depth': 10, 'max_features': 'sqrt', 'min_samples_split': 5, 'n_estimators': 1}",0.861111111111,0.925373134328,0.462686567164,0.892086330935,0.805194805195,0.1094980239868164
RF,"{'max_depth': 10, 'max_features': 'sqrt', 'min_samples_split': 5, 'n_estimators': 10}",1.0,0.10447761194,0.55223880597,0.189189189189,0.220779220779,0.21943187713623047
RF,"{'max_depth': 10, 'max_features': 'sqrt', 'min_samples_split': 5, 'n_estimators': 100}",1.0,0.10447761194,0.55223880597,0.189189189189,0.220779220779,0.2589259147644043
RF,"{'max_depth': 10, 'max_features': 'sqrt', 'min_samples_split': 10, 'n_estimators': 1}",1.0,0.134328358209,0.567164179104,0.236842105263,0.246753246753,0.10946822166442871
RF,"{'max_depth': 10, 'max_features': 'sqrt', 'min_samples_split': 10, 'n_estimators': 10}",0.857142857143,0.089552238806,0.494776119403,0.162162162162,0.194805194805,0.21987032890319824
RF,"{'max_depth': 10, 'max_features': 'sqrt', 'min_samples_split': 10, 'n_estimators': 100}",1.0,0.0597014925373,0.529850746269,0.112676056338,0.181818181818,0.2590630054473877
RF,"{'max_depth': 10, 'max_features': 'log2', 'min_samples_split': 2, 'n_estimators': 1}",0.861111111111,0.925373134328,0.462686567164,0.892086330935,0.805194805195,0.10792398452758789
RF,"{'max_depth': 10, 'max_features': 'log2', 'min_samples_split': 2, 'n_estimators': 10}",0.833333333333,0.0746268656716,0.487313432836,0.13698630137,0.181818181818,0.21805572509765625
RF,"{'max_depth': 10, 'max_features': 'log2', 'min_samples_split': 2, 'n_estimators': 100}",1.0,0.0597014925373,0.529850746269,0.112676056338,0.181818181818,0.2604684829711914
RF,"{'max_depth': 10, 'max_features': 'log2', 'min_samples_split': 5, 'n_estimators': 1}",0.863636363636,0.850746268657,0.475373134328,0.857142857143,0.753246753247,0.10983490943908691
RF,"{'max_depth': 10, 'max_features': 'log2', 'min_samples_split': 5, 'n_estimators': 10}",1.0,0.0597014925373,0.529850746269,0.112676056338,0.181818181818,0.21976161003112793
RF,"{'max_depth': 10, 'max_features': 'log2', 'min_samples_split': 5, 'n_estimators': 100}",1.0,0.0597014925373,0.529850746269,0.112676056338,0.181818181818,0.2627716064453125
RF,"{'max_depth': 10, 'max_features': 'log2', 'min_samples_split': 10, 'n_estimators': 1}",0.857142857143,0.089552238806,0.494776119403,0.162162162162,0.194805194805,0.10947465896606445
RF,"{'max_depth': 10, 'max_features': 'log2', 'min_samples_split': 10, 'n_estimators': 10}",1.0,0.0597014925373,0.529850746269,0.112676056338,0.181818181818,0.21719884872436523
RF,"{'max_depth': 10, 'max_features': 'log2', 'min_samples_split': 10, 'n_estimators': 100}",1.0,0.0597014925373,0.529850746269,0.112676056338,0.181818181818,0.2583944797515869
NB,{},0.882352941176,0.44776119403,0.523880597015,0.594059405941,0.467532467532,0.005393505096435547
GB,"{'max_depth': 1, 'learning_rate': 0.01, 'subsample': 0.1, 'n_estimators': 1}",0.87012987013,1.0,0.5,0.930555555556,0.87012987013,0.00544285774230957
GB,"{'max_depth': 1, 'learning_rate': 0.01, 'subsample': 0.5, 'n_estimators': 1}",0.866666666667,0.970149253731,0.485074626866,0.915492957746,0.844155844156,0.0028533935546875
GB,"{'max_depth': 1, 'learning_rate': 0.01, 'subsample': 1.0, 'n_estimators': 1}",0.87012987013,1.0,0.5,0.930555555556,0.87012987013,0.0027608871459960938
GB,"{'max_depth': 1, 'learning_rate': 0.01, 'subsample': 0.1, 'n_estimators': 10}",0.854838709677,0.791044776119,0.44552238806,0.821705426357,0.701298701299,0.005907297134399414
GB,"{'max_depth': 1, 'learning_rate': 0.01, 'subsample': 0.5, 'n_estimators': 10}",0.878378378378,0.970149253731,0.535074626866,0.921985815603,0.857142857143,0.008260011672973633
GB,"{'max_depth': 1, 'learning_rate': 0.01, 'subsample': 1.0, 'n_estimators': 10}",0.87012987013,1.0,0.5,0.930555555556,0.87012987013,0.007447004318237305
GB,"{'max_depth': 1, 'learning_rate': 0.01, 'subsample': 0.1, 'n_estimators': 100}",0.872340425532,0.611940298507,0.505970149254,0.719298245614,0.584415584416,0.03942537307739258
GB,"{'max_depth': 1, 'learning_rate': 0.01, 'subsample': 0.5, 'n_estimators': 100}",0.864406779661,0.761194029851,0.480597014925,0.809523809524,0.688311688312,0.05601811408996582
GB,"{'max_depth': 1, 'learning_rate': 0.01, 'subsample': 1.0, 'n_estimators': 100}",0.859154929577,0.910447761194,0.455223880597,0.884057971014,0.792207792208,0.05461573600769043
GB,"{'max_depth': 5, 'learning_rate': 0.01, 'subsample': 0.1, 'n_estimators': 1}",0.881578947368,1.0,0.55,0.937062937063,0.883116883117,0.002750396728515625
GB,"{'max_depth': 5, 'learning_rate': 0.01, 'subsample': 0.5, 'n_estimators': 1}",0.864864864865,0.955223880597,0.477611940299,0.90780141844,0.831168831169,0.003490447998046875
